"GEO_ID","NAME","P1_001N",
# "Geography","Geographic Area Name"," !!Total",
"860Z200US10540","ZCTA5 10540","19",
"860Z200US10541","ZCTA5 10541","25651",
"860Z200US10542","ZCTA5 10542","85",
"860Z200US10543","ZCTA5 10543","21296",
"860Z200US10545","ZCTA5 10545","160",
"860Z200US10546","ZCTA5 10546","1426",
"860Z200US10547","ZCTA5 10547","7293",
"860Z200US10548","ZCTA5 10548","3743",
"860Z200US10549","ZCTA5 10549","16837",
"860Z200US10550","ZCTA5 10550","41137",
"860Z200US10552","ZCTA5 10552","21296",
"860Z200US10553","ZCTA5 10553","11281",
"860Z200US10560","ZCTA5 10560","4854",
"860Z200US10562","ZCTA5 10562","34252",
"860Z200US10566","ZCTA5 10566","25384",
"860Z200US10567","ZCTA5 10567","20400",
"860Z200US10570","ZCTA5 10570","13986",
"860Z200US10573","ZCTA5 10573","41758",
"860Z200US10576","ZCTA5 10576","5099",
"860Z200US10577","ZCTA5 10577","6008",
"860Z200US10578","ZCTA5 10578","721",
"860Z200US10579","ZCTA5 10579","8633",
"860Z200US10580","ZCTA5 10580","18268",
"860Z200US10583","ZCTA5 10583","41589",
"860Z200US10588","ZCTA5 10588","2430",
"860Z200US10589","ZCTA5 10589","8510",
"860Z200US10590","ZCTA5 10590","6556",
"860Z200US10591","ZCTA5 10591","23301",
"860Z200US10594","ZCTA5 10594","5028",
"860Z200US10595","ZCTA5 10595","7264",
"860Z200US10596","ZCTA5 10596","1519",
"860Z200US10597","ZCTA5 10597","1000",
"860Z200US10598","ZCTA5 10598","29040",
"860Z200US10601","ZCTA5 10601","11882",
"860Z200US10603","ZCTA5 10603","18033",
"860Z200US10604","ZCTA5 10604","11526",
"860Z200US10605","ZCTA5 10605","19438",
"860Z200US10606","ZCTA5 10606","16929",
"860Z200US10607","ZCTA5 10607","7441",
"860Z200US10701","ZCTA5 10701","68704",
"860Z200US10703","ZCTA5 10703","22571",
"860Z200US10704","ZCTA5 10704","32426",
"860Z200US10705","ZCTA5 10705","41785",
"860Z200US10706","ZCTA5 10706","9339",
"860Z200US10707","ZCTA5 10707","10553",
"860Z200US10708","ZCTA5 10708","22299",
"860Z200US10709","ZCTA5 10709","10131",
"860Z200US10710","ZCTA5 10710","26725",
"860Z200US10801","ZCTA5 10801","42949",
"860Z200US10803","ZCTA5 10803","13255",
"860Z200US10804","ZCTA5 10804","14455",
"860Z200US10805","ZCTA5 10805","18479",
"860Z200US10901","ZCTA5 10901","25145",
"860Z200US10910","ZCTA5 10910","34",
"860Z200US10911","ZCTA5 10911","27",
"860Z200US10913","ZCTA5 10913","5647",
"860Z200US10914","ZCTA5 10914","605",
"860Z200US10915","ZCTA5 10915","81",
"860Z200US10916","ZCTA5 10916","4604",
"860Z200US10917","ZCTA5 10917","1973",
"860Z200US10918","ZCTA5 10918","12547",
"860Z200US10919","ZCTA5 10919","1123",
"860Z200US10920","ZCTA5 10920","8727",
"860Z200US10921","ZCTA5 10921","4205",
"860Z200US10922","ZCTA5 10922","1026",
"860Z200US10923","ZCTA5 10923","9489",
"860Z200US10924","ZCTA5 10924","14006",
"860Z200US10925","ZCTA5 10925","4341",
"860Z200US10926","ZCTA5 10926","3645",
"860Z200US10927","ZCTA5 10927","12323",
"860Z200US10928","ZCTA5 10928","4637",
"860Z200US10930","ZCTA5 10930","9331",
"860Z200US10931","ZCTA5 10931","967",
"860Z200US10932","ZCTA5 10932","47",
"860Z200US10933","ZCTA5 10933","445",
"860Z200US10940","ZCTA5 10940","52803",
"860Z200US10941","ZCTA5 10941","14549",
"860Z200US10950","ZCTA5 10950","62741",
"860Z200US10952","ZCTA5 10952","47426",
"860Z200US10953","ZCTA5 10953","57",
"860Z200US10954","ZCTA5 10954","24248",
"860Z200US10956","ZCTA5 10956","32499",
"860Z200US10958","ZCTA5 10958","3562",
"860Z200US10960","ZCTA5 10960","14680",
"860Z200US10962","ZCTA5 10962","5049",
"860Z200US10963","ZCTA5 10963","3663",
"860Z200US10964","ZCTA5 10964","1457",
"860Z200US10965","ZCTA5 10965","15342",
"860Z200US10968","ZCTA5 10968","2435",
"860Z200US10969","ZCTA5 10969","1282",
"860Z200US10970","ZCTA5 10970","11211",
"860Z200US10973","ZCTA5 10973","2053",
"860Z200US10974","ZCTA5 10974","3395",
"860Z200US10975","ZCTA5 10975","267",
"860Z200US10976","ZCTA5 10976","2269",
"860Z200US10977","ZCTA5 10977","71049",
"860Z200US10979","ZCTA5 10979","115",
"860Z200US10980","ZCTA5 10980","13289",
"860Z200US10983","ZCTA5 10983","5777",
"860Z200US10984","ZCTA5 10984","2680",
"860Z200US10985","ZCTA5 10985","147",
"860Z200US10986","ZCTA5 10986","1858",
"860Z200US10987","ZCTA5 10987","4454",
"860Z200US10988","ZCTA5 10988","603",
"860Z200US10989","ZCTA5 10989","8993",
"860Z200US10990","ZCTA5 10990","19877",
"860Z200US10992","ZCTA5 10992","9301",
"860Z200US10993","ZCTA5 10993","5113",
"860Z200US10994","ZCTA5 10994","7242",
"860Z200US10996","ZCTA5 10996","7276",
"860Z200US10998","ZCTA5 10998","3588",
"860Z200US11001","ZCTA5 11001","27662",
"860Z200US11003","ZCTA5 11003","43979",
"860Z200US11004","ZCTA5 11004","13608",
"860Z200US11005","ZCTA5 11005","1945",
"860Z200US11010","ZCTA5 11010","25013",
"860Z200US11020","ZCTA5 11020","6363",
"860Z200US11021","ZCTA5 11021","19376",
"860Z200US11023","ZCTA5 11023","10213",
"860Z200US11024","ZCTA5 11024","8623",
"860Z200US11030","ZCTA5 11030","17898",
"860Z200US11040","ZCTA5 11040","43075",
"860Z200US11042","ZCTA5 11042","19",
"860Z200US11050","ZCTA5 11050","31512",
"860Z200US11096","ZCTA5 11096","9645",
"860Z200US11101","ZCTA5 11101","48867",
"860Z200US11102","ZCTA5 11102","37468",
"860Z200US11103","ZCTA5 11103","37362",
"860Z200US11104","ZCTA5 11104","27407",
"860Z200US11105","ZCTA5 11105","38001",
"860Z200US11106","ZCTA5 11106","41722",
"860Z200US11109","ZCTA5 11109","8400",
"860Z200US11201","ZCTA5 11201","69703",
"860Z200US11203","ZCTA5 11203","81824",
"860Z200US11204","ZCTA5 11204","85885",
"860Z200US11205","ZCTA5 11205","50474",
"860Z200US11206","ZCTA5 11206","91549",
"860Z200US11207","ZCTA5 11207","100330",
"860Z200US11208","ZCTA5 11208","101958",
"860Z200US11209","ZCTA5 11209","73239",
"860Z200US11210","ZCTA5 11210","62805",
"860Z200US11211","ZCTA5 11211","68540",
"860Z200US11212","ZCTA5 11212","91574",
"860Z200US11213","ZCTA5 11213","67217",
"860Z200US11214","ZCTA5 11214","96560",
"860Z200US11215","ZCTA5 11215","67493",
"860Z200US11216","ZCTA5 11216","61251",
"860Z200US11217","ZCTA5 11217","42417",
"860Z200US11218","ZCTA5 11218","78642",
"860Z200US11219","ZCTA5 11219","103447",
"860Z200US11220","ZCTA5 11220","105797",
"860Z200US11221","ZCTA5 11221","89222",
"860Z200US11222","ZCTA5 11222","41957",
"860Z200US11223","ZCTA5 11223","83519",
"860Z200US11224","ZCTA5 11224","46019",
"860Z200US11225","ZCTA5 11225","58786",
"860Z200US11226","ZCTA5 11226","101727",
"860Z200US11228","ZCTA5 11228","45906",
"860Z200US11229","ZCTA5 11229","83669",
"860Z200US11230","ZCTA5 11230","91391",
"860Z200US11231","ZCTA5 11231","37240",
"860Z200US11232","ZCTA5 11232","30181",
"860Z200US11233","ZCTA5 11233","75399",
"860Z200US11234","ZCTA5 11234","92133",
"860Z200US11235","ZCTA5 11235","88482",
"860Z200US11236","ZCTA5 11236","100687",
"860Z200US11237","ZCTA5 11237","49418",
"860Z200US11238","ZCTA5 11238","60090",
"860Z200US11239","ZCTA5 11239","17038",
"860Z200US11249","ZCTA5 11249","42024",
"860Z200US11354","ZCTA5 11354","61276",
"860Z200US11355","ZCTA5 11355","89465",
"860Z200US11356","ZCTA5 11356","28310",
"860Z200US11357","ZCTA5 11357","42319",
"860Z200US11358","ZCTA5 11358","40435",
"860Z200US11359","ZCTA5 11359","0",
"860Z200US11360","ZCTA5 11360","20039",
"860Z200US11361","ZCTA5 11361","29116",
"860Z200US11362","ZCTA5 11362","18139",
"860Z200US11363","ZCTA5 11363","7208",
"860Z200US11364","ZCTA5 11364","37032",
"860Z200US11365","ZCTA5 11365","46908",
"860Z200US11366","ZCTA5 11366","14430",
"860Z200US11367","ZCTA5 11367","43112",
"860Z200US11368","ZCTA5 11368","117110",
"860Z200US11369","ZCTA5 11369","40805",
"860Z200US11370","ZCTA5 11370","34683",
"860Z200US11371","ZCTA5 11371","0",
"860Z200US11372","ZCTA5 11372","68000",
"860Z200US11373","ZCTA5 11373","105712",
"860Z200US11374","ZCTA5 11374","47129",
"860Z200US11375","ZCTA5 11375","72851",
"860Z200US11377","ZCTA5 11377","91512",
"860Z200US11378","ZCTA5 11378","38288",
"860Z200US11379","ZCTA5 11379","37906",
"860Z200US11385","ZCTA5 11385","100883",
"860Z200US11411","ZCTA5 11411","19579",
"860Z200US11412","ZCTA5 11412","37958",
"860Z200US11413","ZCTA5 11413","42978",
"860Z200US11414","ZCTA5 11414","27320",
"860Z200US11415","ZCTA5 11415","20241",
"860Z200US11416","ZCTA5 11416","28381",
"860Z200US11417","ZCTA5 11417","31229",
"860Z200US11418","ZCTA5 11418","37596",
"860Z200US11419","ZCTA5 11419","47430",
"860Z200US11420","ZCTA5 11420","47383",
"860Z200US11421","ZCTA5 11421","42586",
"860Z200US11422","ZCTA5 11422","32839",
"860Z200US11423","ZCTA5 11423","31985",
"860Z200US11424","ZCTA5 11424","0",
"860Z200US11426","ZCTA5 11426","19343",
"860Z200US11427","ZCTA5 11427","24555",
"860Z200US11428","ZCTA5 11428","19516",
"860Z200US11429","ZCTA5 11429","25895",
"860Z200US11430","ZCTA5 11430","571",
"860Z200US11432","ZCTA5 11432","65743",
"860Z200US11433","ZCTA5 11433","39071",
