Dep State Name,Arr State Name,Total Est. Pax,Time Series
Arkansas,Arizona,9169,2020-01
Arkansas,Arkansas,1091,2020-01
Arkansas,California,26861,2020-01
Arkansas,Colorado,14775,2020-01
Arkansas,Connecticut,1419,2020-01
Arkansas,District Of Columbia,8483,2020-01
Arkansas,Florida,34494,2020-01
Arkansas,Georgia,15114,2020-01
Arkansas,Hawaii,1941,2020-01
Arkansas,Idaho,753,2020-01
Arkansas,Illinois,15782,2020-01
Arkansas,Indiana,3511,2020-01
Arkansas,Iowa,1602,2020-01
Arkansas,Kansas,575,2020-01
Arkansas,Kentucky,2459,2020-01
Arkansas,Louisiana,5860,2020-01
Arkansas,Maine,639,2020-01
Arkansas,Maryland,4078,2020-01
Arkansas,Massachusetts,3569,2020-01
Arkansas,Michigan,4522,2020-01
Arkansas,Minnesota,5335,2020-01
Arkansas,Mississippi,1041,2020-01
Arkansas,Missouri,10424,2020-01
Arkansas,Montana,972,2020-01
Arkansas,Nebraska,1248,2020-01
Arkansas,Nevada,13709,2020-01
Arkansas,New Hampshire,414,2020-01
Arkansas,New Mexico,1486,2020-01
Arkansas,New York,19843,2020-01
Arkansas,North Carolina,10563,2020-01
Arkansas,North Dakota,583,2020-01
Arkansas,Ohio,7026,2020-01
Arkansas,Oklahoma,2680,2020-01
Arkansas,Oregon,2189,2020-01
Arkansas,Pennsylvania,8366,2020-01
Arkansas,Rhode Island,843,2020-01
Arkansas,South Carolina,3995,2020-01
Arkansas,South Dakota,586,2020-01
Arkansas,Tennessee,5684,2020-01
Arkansas,Texas,52032,2020-01
Arkansas,Utah,3101,2020-01
Arkansas,Vermont,248,2020-01
Arkansas,Virginia,4089,2020-01
Arkansas,Washington,4501,2020-01
Arkansas,West Virginia,332,2020-01
Arkansas,Wisconsin,3150,2020-01
Arkansas,Wyoming,578,2020-01
California,Alabama,29546,2020-01
California,Alaska,31034,2020-01
California,Arizona,541480,2020-01
California,Arkansas,24923,2020-01
California,California,3039379,2020-01
California,Colorado,498915,2020-01
California,Connecticut,26538,2020-01
California,District Of Columbia,250340,2020-01
California,Florida,587094,2020-01
California,Georgia,230376,2020-01
California,Hawaii,501882,2020-01
California,Idaho,80492,2020-01
California,Illinois,459212,2020-01
California,Indiana,62471,2020-01
California,Iowa,27445,2020-01
California,Kansas,15828,2020-01
California,Kentucky,23020,2020-01
California,Louisiana,101831,2020-01
California,Maine,7570,2020-01
California,Maryland,107540,2020-01
California,Massachusetts,261121,2020-01
California,Michigan,131994,2020-01
California,Minnesota,180125,2020-01
California,Mississippi,9507,2020-01
California,Missouri,172966,2020-01
California,Montana,42488,2020-01
California,Nebraska,41032,2020-01
California,Nevada,790709,2020-01
California,New Hampshire,5047,2020-01
California,New Jersey,82,2020-01
California,New Mexico,67742,2020-01
California,New York,865409,2020-01
California,North Carolina,147856,2020-01
California,North Dakota,11921,2020-01
California,Ohio,138840,2020-01
California,Oklahoma,54815,2020-01
California,Oregon,458864,2020-01
California,Pennsylvania,193121,2020-01
California,Rhode Island,12397,2020-01
California,South Carolina,33581,2020-01
California,South Dakota,10444,2020-01
California,Tennessee,134743,2020-01
California,Texas,948180,2020-01
California,Utah,294636,2020-01
California,Vermont,6159,2020-01
California,Virginia,56826,2020-01
California,Washington,765530,2020-01
California,West Virginia,2766,2020-01
California,Wisconsin,61910,2020-01
California,Wyoming,14313,2020-01
Colorado,Alabama,15699,2020-01
Colorado,Alaska,6046,2020-01
Colorado,Arizona,164964,2020-01
Colorado,Arkansas,14453,2020-01
Colorado,California,497452,2020-01
Colorado,Colorado,75216,2020-01
Colorado,Connecticut,8629,2020-01
Colorado,District Of Columbia,87377,2020-01
Colorado,Florida,324540,2020-01
Colorado,Georgia,85639,2020-01
Colorado,Hawaii,28214,2020-01
Colorado,Idaho,15222,2020-01
Colorado,Illinois,146830,2020-01
Colorado,Indiana,31035,2020-01
Colorado,Iowa,19927,2020-01
Colorado,Kansas,15414,2020-01
Colorado,Kentucky,8685,2020-01
Colorado,Louisiana,50195,2020-01
Colorado,Maine,2308,2020-01
Colorado,Maryland,47455,2020-01
Colorado,Massachusetts,55736,2020-01
Colorado,Michigan,49131,2020-01
Colorado,Minnesota,77634,2020-01
